gid=,15, btcnt=,170, method=,R,prejudgesize=,5
gid=,15, btcnt=,64, method=,M,prejudgesize=,6
gid=,15, btcnt=,60, method=,D,prejudgesize=,6
gid=,15, btcnt=,70, method=,R,prejudgesize=,6
gid=,15, btcnt=,224, method=,M,prejudgesize=,2
gid=,15, btcnt=,184, method=,D,prejudgesize=,2
gid=,15, btcnt=,145, method=,R,prejudgesize=,2
gid=,15, btcnt=,188, method=,M,prejudgesize=,0
gid=,15, btcnt=,135, method=,D,prejudgesize=,0
gid=,15, btcnt=,125, method=,R,prejudgesize=,0
gid=,16, btcnt=,778, method=,M,prejudgesize=,5
gid=,16, btcnt=,48, method=,D,prejudgesize=,5
gid=,16, btcnt=,1424, method=,R,prejudgesize=,5
gid=,16, btcnt=,562, method=,M,prejudgesize=,6
gid=,16, btcnt=,23, method=,D,prejudgesize=,6
gid=,16, btcnt=,1100, method=,R,prejudgesize=,6
gid=,16, btcnt=,375, method=,M,prejudgesize=,2
gid=,16, btcnt=,48, method=,D,prejudgesize=,2
gid=,16, btcnt=,839, method=,R,prejudgesize=,2
gid=,16, btcnt=,327, method=,M,prejudgesize=,0
gid=,16, btcnt=,26, method=,D,prejudgesize=,0
gid=,16, btcnt=,808, method=,R,prejudgesize=,0
gid=,17, btcnt=,0, method=,M,prejudgesize=,5
gid=,17, btcnt=,396, method=,D,prejudgesize=,5
gid=,17, btcnt=,259, method=,R,prejudgesize=,5
gid=,17, btcnt=,0, method=,M,prejudgesize=,6
gid=,17, btcnt=,224, method=,D,prejudgesize=,6
gid=,17, btcnt=,91, method=,R,prejudgesize=,6
gid=,17, btcnt=,0, method=,M,prejudgesize=,2
gid=,17, btcnt=,194, method=,D,prejudgesize=,2
gid=,17, btcnt=,87, method=,R,prejudgesize=,2
gid=,17, btcnt=,0, method=,M,prejudgesize=,0
gid=,17, btcnt=,163, method=,D,prejudgesize=,0
gid=,17, btcnt=,87, method=,R,prejudgesize=,0
gid=,18, btcnt=,914, method=,M,prejudgesize=,5
gid=,18, btcnt=,870, method=,D,prejudgesize=,5
gid=,18, btcnt=,1522, method=,R,prejudgesize=,5
gid=,18, btcnt=,608, method=,M,prejudgesize=,6
gid=,18, btcnt=,600, method=,D,prejudgesize=,6
gid=,18, btcnt=,824, method=,R,prejudgesize=,6
gid=,18, btcnt=,484, method=,M,prejudgesize=,2
gid=,18, btcnt=,424, method=,D,prejudgesize=,2
gid=,18, btcnt=,997, method=,R,prejudgesize=,2
gid=,18, btcnt=,462, method=,M,prejudgesize=,0
gid=,18, btcnt=,376, method=,D,prejudgesize=,0
gid=,18, btcnt=,981, method=,R,prejudgesize=,0
gid=,19, btcnt=,453, method=,M,prejudgesize=,5
gid=,19, btcnt=,453, method=,D,prejudgesize=,5
gid=,19, btcnt=,596, method=,R,prejudgesize=,5
gid=,19, btcnt=,242, method=,M,prejudgesize=,6
gid=,19, btcnt=,242, method=,D,prejudgesize=,6
gid=,19, btcnt=,346, method=,R,prejudgesize=,6
gid=,19, btcnt=,193, method=,M,prejudgesize=,2
gid=,19, btcnt=,204, method=,D,prejudgesize=,2
gid=,19, btcnt=,253, method=,R,prejudgesize=,2
gid=,19, btcnt=,192, method=,M,prejudgesize=,0
gid=,19, btcnt=,192, method=,D,prejudgesize=,0
gid=,19, btcnt=,253, method=,R,prejudgesize=,0
gid=,20, btcnt=,0, method=,M,prejudgesize=,5
gid=,20, btcnt=,7, method=,D,prejudgesize=,5
gid=,20, btcnt=,259, method=,R,prejudgesize=,5
gid=,20, btcnt=,0, method=,M,prejudgesize=,6
gid=,20, btcnt=,1, method=,D,prejudgesize=,6
gid=,20, btcnt=,103, method=,R,prejudgesize=,6
gid=,20, btcnt=,0, method=,M,prejudgesize=,2
gid=,20, btcnt=,16, method=,D,prejudgesize=,2
gid=,20, btcnt=,148, method=,R,prejudgesize=,2
gid=,20, btcnt=,0, method=,M,prejudgesize=,0
gid=,20, btcnt=,7, method=,D,prejudgesize=,0
gid=,20, btcnt=,145, method=,R,prejudgesize=,0
gid=,21, btcnt=,0, method=,M,prejudgesize=,5
gid=,21, btcnt=,8, method=,D,prejudgesize=,5
gid=,21, btcnt=,73, method=,R,prejudgesize=,5
gid=,21, btcnt=,0, method=,M,prejudgesize=,6
gid=,21, btcnt=,2, method=,D,prejudgesize=,6
gid=,21, btcnt=,9, method=,R,prejudgesize=,6
gid=,21, btcnt=,0, method=,M,prejudgesize=,2
gid=,21, btcnt=,16, method=,D,prejudgesize=,2
gid=,21, btcnt=,62, method=,R,prejudgesize=,2
gid=,21, btcnt=,0, method=,M,prejudgesize=,0
gid=,21, btcnt=,7, method=,D,prejudgesize=,0
gid=,21, btcnt=,61, method=,R,prejudgesize=,0
gid=,22, btcnt=,614, method=,M,prejudgesize=,5
gid=,22, btcnt=,614, method=,D,prejudgesize=,5
gid=,22, btcnt=,1875, method=,R,prejudgesize=,5
gid=,22, btcnt=,298, method=,M,prejudgesize=,6
gid=,22, btcnt=,298, method=,D,prejudgesize=,6
gid=,22, btcnt=,1122, method=,R,prejudgesize=,6
gid=,22, btcnt=,367, method=,M,prejudgesize=,2
gid=,22, btcnt=,376, method=,D,prejudgesize=,2
gid=,22, btcnt=,1270, method=,R,prejudgesize=,2
gid=,22, btcnt=,328, method=,M,prejudgesize=,0
gid=,22, btcnt=,328, method=,D,prejudgesize=,0
gid=,22, btcnt=,1215, method=,R,prejudgesize=,0
gid=,23, btcnt=,595, method=,M,prejudgesize=,5
gid=,23, btcnt=,595, method=,D,prejudgesize=,5
gid=,23, btcnt=,504, method=,R,prejudgesize=,5
gid=,23, btcnt=,292, method=,M,prejudgesize=,6
gid=,23, btcnt=,293, method=,D,prejudgesize=,6
gid=,23, btcnt=,252, method=,R,prejudgesize=,6
gid=,23, btcnt=,365, method=,M,prejudgesize=,2
gid=,23, btcnt=,377, method=,D,prejudgesize=,2
gid=,23, btcnt=,1210, method=,R,prejudgesize=,2
gid=,23, btcnt=,330, method=,M,prejudgesize=,0
gid=,23, btcnt=,330, method=,D,prejudgesize=,0
gid=,23, btcnt=,1172, method=,R,prejudgesize=,0
gid=,24, btcnt=,0, method=,M,prejudgesize=,5
gid=,24, btcnt=,7, method=,D,prejudgesize=,5
gid=,24, btcnt=,116, method=,R,prejudgesize=,5
gid=,24, btcnt=,0, method=,M,prejudgesize=,6
gid=,24, btcnt=,1, method=,D,prejudgesize=,6
gid=,24, btcnt=,28, method=,R,prejudgesize=,6
gid=,24, btcnt=,0, method=,M,prejudgesize=,2
gid=,24, btcnt=,16, method=,D,prejudgesize=,2
gid=,24, btcnt=,1474, method=,R,prejudgesize=,2
gid=,24, btcnt=,0, method=,M,prejudgesize=,0
gid=,24, btcnt=,7, method=,D,prejudgesize=,0
gid=,24, btcnt=,1429, method=,R,prejudgesize=,0
gid=,25, btcnt=,0, method=,M,prejudgesize=,5
gid=,25, btcnt=,29, method=,D,prejudgesize=,5
gid=,25, btcnt=,1265, method=,R,prejudgesize=,5
gid=,25, btcnt=,0, method=,M,prejudgesize=,6
gid=,25, btcnt=,10, method=,D,prejudgesize=,6
gid=,25, btcnt=,695, method=,R,prejudgesize=,6
gid=,25, btcnt=,0, method=,M,prejudgesize=,2
gid=,25, btcnt=,35, method=,D,prejudgesize=,2
gid=,25, btcnt=,940, method=,R,prejudgesize=,2
gid=,25, btcnt=,0, method=,M,prejudgesize=,0
gid=,25, btcnt=,17, method=,D,prejudgesize=,0
gid=,25, btcnt=,906, method=,R,prejudgesize=,0
gid=,26, btcnt=,1088, method=,M,prejudgesize=,5
gid=,26, btcnt=,1238, method=,D,prejudgesize=,5
gid=,26, btcnt=,111, method=,R,prejudgesize=,5
gid=,26, btcnt=,1207, method=,M,prejudgesize=,6
gid=,26, btcnt=,1207, method=,D,prejudgesize=,6
gid=,26, btcnt=,150, method=,R,prejudgesize=,6
gid=,26, btcnt=,502, method=,M,prejudgesize=,2
gid=,26, btcnt=,543, method=,D,prejudgesize=,2
gid=,26, btcnt=,1496, method=,R,prejudgesize=,2
gid=,26, btcnt=,486, method=,M,prejudgesize=,0
gid=,26, btcnt=,486, method=,D,prejudgesize=,0
gid=,26, btcnt=,1490, method=,R,prejudgesize=,0
gid=,27, btcnt=,0, method=,M,prejudgesize=,5
gid=,27, btcnt=,656, method=,D,prejudgesize=,5
gid=,27, btcnt=,1924, method=,R,prejudgesize=,5
gid=,27, btcnt=,0, method=,M,prejudgesize=,6
gid=,27, btcnt=,527, method=,D,prejudgesize=,6
gid=,27, btcnt=,1455, method=,R,prejudgesize=,6
gid=,27, btcnt=,0, method=,M,prejudgesize=,2
gid=,27, btcnt=,330, method=,D,prejudgesize=,2
gid=,27, btcnt=,1237, method=,R,prejudgesize=,2
gid=,27, btcnt=,0, method=,M,prejudgesize=,0
gid=,27, btcnt=,238, method=,D,prejudgesize=,0
gid=,27, btcnt=,1199, method=,R,prejudgesize=,0
gid=,28, btcnt=,453, method=,M,prejudgesize=,5
gid=,28, btcnt=,778, method=,D,prejudgesize=,5
gid=,28, btcnt=,59, method=,R,prejudgesize=,5
gid=,28, btcnt=,171, method=,M,prejudgesize=,6
gid=,28, btcnt=,611, method=,D,prejudgesize=,6
gid=,28, btcnt=,10, method=,R,prejudgesize=,6
gid=,28, btcnt=,301, method=,M,prejudgesize=,2
gid=,28, btcnt=,379, method=,D,prejudgesize=,2
gid=,28, btcnt=,69, method=,R,prejudgesize=,2
gid=,28, btcnt=,271, method=,M,prejudgesize=,0
gid=,28, btcnt=,279, method=,D,prejudgesize=,0
gid=,28, btcnt=,67, method=,R,prejudgesize=,0
gid=,29, btcnt=,0, method=,M,prejudgesize=,5
gid=,29, btcnt=,87, method=,D,prejudgesize=,5
gid=,29, btcnt=,1575, method=,R,prejudgesize=,5
gid=,29, btcnt=,0, method=,M,prejudgesize=,6
gid=,29, btcnt=,37, method=,D,prejudgesize=,6
gid=,29, btcnt=,2470, method=,R,prejudgesize=,6
gid=,29, btcnt=,0, method=,M,prejudgesize=,2
gid=,29, btcnt=,69, method=,D,prejudgesize=,2
gid=,29, btcnt=,1441, method=,R,prejudgesize=,2
gid=,29, btcnt=,0, method=,M,prejudgesize=,0
gid=,29, btcnt=,45, method=,D,prejudgesize=,0
gid=,29, btcnt=,1441, method=,R,prejudgesize=,0
gid=,30, btcnt=,0, method=,M,prejudgesize=,5
gid=,30, btcnt=,167, method=,D,prejudgesize=,5
gid=,30, btcnt=,210, method=,R,prejudgesize=,5
gid=,30, btcnt=,0, method=,M,prejudgesize=,6
gid=,30, btcnt=,110, method=,D,prejudgesize=,6
gid=,30, btcnt=,67, method=,R,prejudgesize=,6
gid=,30, btcnt=,0, method=,M,prejudgesize=,2
gid=,30, btcnt=,119, method=,D,prejudgesize=,2
gid=,30, btcnt=,231, method=,R,prejudgesize=,2
gid=,30, btcnt=,0, method=,M,prejudgesize=,0
gid=,30, btcnt=,68, method=,D,prejudgesize=,0
gid=,30, btcnt=,1607, method=,R,prejudgesize=,0
gid=,31, btcnt=,1103, method=,M,prejudgesize=,5
gid=,31, btcnt=,1103, method=,D,prejudgesize=,5
gid=,31, btcnt=,1786, method=,R,prejudgesize=,5
gid=,31, btcnt=,828, method=,M,prejudgesize=,6
gid=,31, btcnt=,829, method=,D,prejudgesize=,6
gid=,31, btcnt=,1167, method=,R,prejudgesize=,6
gid=,31, btcnt=,547, method=,M,prejudgesize=,2
gid=,31, btcnt=,597, method=,D,prejudgesize=,2
gid=,31, btcnt=,1765, method=,R,prejudgesize=,2
gid=,31, btcnt=,458, method=,M,prejudgesize=,0
gid=,31, btcnt=,464, method=,D,prejudgesize=,0
gid=,31, btcnt=,1721, method=,R,prejudgesize=,0
gid=,32, btcnt=,412, method=,M,prejudgesize=,5
gid=,32, btcnt=,1072, method=,D,prejudgesize=,5
gid=,32, btcnt=,1555, method=,R,prejudgesize=,5
gid=,32, btcnt=,224, method=,M,prejudgesize=,6
gid=,32, btcnt=,798, method=,D,prejudgesize=,6
gid=,32, btcnt=,846, method=,R,prejudgesize=,6
gid=,32, btcnt=,262, method=,M,prejudgesize=,2
gid=,32, btcnt=,441, method=,D,prejudgesize=,2
gid=,32, btcnt=,535, method=,R,prejudgesize=,2
gid=,32, btcnt=,255, method=,M,prejudgesize=,0
gid=,32, btcnt=,397, method=,D,prejudgesize=,0
gid=,32, btcnt=,532, method=,R,prejudgesize=,0
gid=,33, btcnt=,126, method=,M,prejudgesize=,5
gid=,33, btcnt=,1031, method=,D,prejudgesize=,5
gid=,33, btcnt=,1534, method=,R,prejudgesize=,5
gid=,33, btcnt=,51, method=,M,prejudgesize=,6
gid=,33, btcnt=,722, method=,D,prejudgesize=,6
gid=,33, btcnt=,1074, method=,R,prejudgesize=,6
gid=,33, btcnt=,108, method=,M,prejudgesize=,2
gid=,33, btcnt=,467, method=,D,prejudgesize=,2
gid=,33, btcnt=,2585, method=,R,prejudgesize=,2
gid=,33, btcnt=,99, method=,M,prejudgesize=,0
gid=,33, btcnt=,411, method=,D,prejudgesize=,0
gid=,33, btcnt=,2577, method=,R,prejudgesize=,0
gid=,34, btcnt=,1088, method=,M,prejudgesize=,5
gid=,34, btcnt=,1084, method=,D,prejudgesize=,5
gid=,34, btcnt=,196, method=,R,prejudgesize=,5
gid=,34, btcnt=,757, method=,M,prejudgesize=,6
gid=,34, btcnt=,753, method=,D,prejudgesize=,6
gid=,34, btcnt=,66, method=,R,prejudgesize=,6
gid=,34, btcnt=,513, method=,M,prejudgesize=,2
gid=,34, btcnt=,479, method=,D,prejudgesize=,2
gid=,34, btcnt=,112, method=,R,prejudgesize=,2
gid=,34, btcnt=,488, method=,M,prejudgesize=,0
gid=,34, btcnt=,445, method=,D,prejudgesize=,0
gid=,34, btcnt=,112, method=,R,prejudgesize=,0
gid=,35, btcnt=,1572, method=,M,prejudgesize=,5
gid=,35, btcnt=,1369, method=,D,prejudgesize=,5
gid=,35, btcnt=,1397, method=,R,prejudgesize=,5
gid=,35, btcnt=,1798, method=,M,prejudgesize=,6
gid=,35, btcnt=,1447, method=,D,prejudgesize=,6
gid=,35, btcnt=,1596, method=,R,prejudgesize=,6
gid=,35, btcnt=,772, method=,M,prejudgesize=,2
gid=,35, btcnt=,633, method=,D,prejudgesize=,2
gid=,35, btcnt=,1528, method=,R,prejudgesize=,2
gid=,35, btcnt=,737, method=,M,prejudgesize=,0
gid=,35, btcnt=,571, method=,D,prejudgesize=,0
gid=,35, btcnt=,1518, method=,R,prejudgesize=,0
gid=,36, btcnt=,582, method=,M,prejudgesize=,5
gid=,36, btcnt=,7, method=,D,prejudgesize=,5
gid=,36, btcnt=,2033, method=,R,prejudgesize=,5
gid=,36, btcnt=,340, method=,M,prejudgesize=,6
gid=,36, btcnt=,1, method=,D,prejudgesize=,6
gid=,36, btcnt=,3207, method=,R,prejudgesize=,6
gid=,36, btcnt=,290, method=,M,prejudgesize=,2
gid=,36, btcnt=,16, method=,D,prejudgesize=,2
gid=,36, btcnt=,1437, method=,R,prejudgesize=,2
gid=,36, btcnt=,263, method=,M,prejudgesize=,0
gid=,36, btcnt=,7, method=,D,prejudgesize=,0
gid=,36, btcnt=,1430, method=,R,prejudgesize=,0
gid=,37, btcnt=,1660, method=,M,prejudgesize=,5
gid=,37, btcnt=,107, method=,D,prejudgesize=,5
gid=,37, btcnt=,1117, method=,R,prejudgesize=,5
gid=,37, btcnt=,1732, method=,M,prejudgesize=,6
gid=,37, btcnt=,54, method=,D,prejudgesize=,6
gid=,37, btcnt=,1689, method=,R,prejudgesize=,6
gid=,37, btcnt=,734, method=,M,prejudgesize=,2
gid=,37, btcnt=,114, method=,D,prejudgesize=,2
gid=,37, btcnt=,1493, method=,R,prejudgesize=,2
gid=,37, btcnt=,695, method=,M,prejudgesize=,0
gid=,37, btcnt=,77, method=,D,prejudgesize=,0
gid=,37, btcnt=,1488, method=,R,prejudgesize=,0
gid=,38, btcnt=,1418, method=,M,prejudgesize=,5
gid=,38, btcnt=,463, method=,D,prejudgesize=,5
gid=,38, btcnt=,2503, method=,R,prejudgesize=,5
gid=,38, btcnt=,1750, method=,M,prejudgesize=,6
gid=,38, btcnt=,408, method=,D,prejudgesize=,6
gid=,38, btcnt=,3589, method=,R,prejudgesize=,6
gid=,38, btcnt=,1541, method=,M,prejudgesize=,2
gid=,38, btcnt=,205, method=,D,prejudgesize=,2
gid=,38, btcnt=,1483, method=,R,prejudgesize=,2
gid=,38, btcnt=,1497, method=,M,prejudgesize=,0
gid=,38, btcnt=,185, method=,D,prejudgesize=,0
gid=,38, btcnt=,1483, method=,R,prejudgesize=,0
gid=,39, btcnt=,365, method=,M,prejudgesize=,5
gid=,39, btcnt=,922, method=,D,prejudgesize=,5
gid=,39, btcnt=,1268, method=,R,prejudgesize=,5
gid=,39, btcnt=,198, method=,M,prejudgesize=,6
gid=,39, btcnt=,674, method=,D,prejudgesize=,6
gid=,39, btcnt=,1006, method=,R,prejudgesize=,6
gid=,39, btcnt=,196, method=,M,prejudgesize=,2
gid=,39, btcnt=,436, method=,D,prejudgesize=,2
gid=,39, btcnt=,582, method=,R,prejudgesize=,2
gid=,39, btcnt=,184, method=,M,prejudgesize=,0
gid=,39, btcnt=,373, method=,D,prejudgesize=,0
gid=,39, btcnt=,571, method=,R,prejudgesize=,0
gid=,40, btcnt=,0, method=,M,prejudgesize=,5
gid=,40, btcnt=,306, method=,D,prejudgesize=,5
gid=,40, btcnt=,2008, method=,R,prejudgesize=,5
gid=,40, btcnt=,0, method=,M,prejudgesize=,6
gid=,40, btcnt=,241, method=,D,prejudgesize=,6
gid=,40, btcnt=,3633, method=,R,prejudgesize=,6
gid=,40, btcnt=,0, method=,M,prejudgesize=,2
gid=,40, btcnt=,181, method=,D,prejudgesize=,2
gid=,40, btcnt=,2172, method=,R,prejudgesize=,2
gid=,40, btcnt=,0, method=,M,prejudgesize=,0
gid=,40, btcnt=,119, method=,D,prejudgesize=,0
gid=,40, btcnt=,2146, method=,R,prejudgesize=,0
